,INFO_ITEM_TYPE,_id,Passage_id,passage,WELLBORE NAME,CREATOR BA NAME,year,Q,A1,A2,C
0,DISCOVERY_EVALUATION_REPORT,59d3b7de417e13085ff1dbee2ce826ff2fe23165,0,"V FORMATION TESTER S.P.E. PL N5 Ended O.O.H.F.' 211-130 of R.I.H. TLLOUS OPERATOR  Witness: PINET WELL: 25/2-2 GENERAL INFORMATIONS Density  1,20 Viscosity : Free water  5,0 Salinity : MUD 40 cp 37_,V1 Source of fit Irate Press liner Hole diameter : 81 Cake ________ Late wiper 2H Reservoir Fr gg _Member trip ?",25/2-2,Total E&P Norge AS,1994,,,,
1,DISCOVERY_EVALUATION_REPORT,59d3b7de417e13085ff1dbee2ce826ff2fe23165,1,"Reason for testing: ..._s_aample for PVT Analysis. iFORMATION Cores  non Litholagy : sand Porosity  29 0/0 Permeability : very good Salinity of interstitial water ' 53 g/1 07a2 135F Presumed GOR  Static Reservoir Pressure  2900 PSI Head of mud  3350 PSIG TOOLS Tool : Mode of placement FIT or FTT comBo FTT Diameter of charges, kind of setting Type of pad Sampling chamber: 3/4. (10 IA or t/2 (21 I) 23/4 Choke: 4X0.020 Hydraulic circuit regulator GR Shaped Charge hard casing FORMATION :I.L9e.2: EocenQ N of test  Testing depth reference GRN 1952 absolute depth  3923 n, (with correction of deviataol) OVERALL RESULTS : significant ______ TEST Pressure scale Pad pressure.",25/2-2,Total E&P Norge AS,1994,What is the reason for testing wellbore 25/2-2?,sample for PVT Analysis.,The wellbore 25/2-2 is being tested to collect a sample for PVT analysis.,1
2,DISCOVERY_EVALUATION_REPORT,59d3b7de417e13085ff1dbee2ce826ff2fe23165,1,"Reason for testing: ..._s_aample for PVT Analysis. iFORMATION Cores  non Litholagy : sand Porosity  29 0/0 Permeability : very good Salinity of interstitial water ' 53 g/1 07a2 135F Presumed GOR  Static Reservoir Pressure  2900 PSI Head of mud  3350 PSIG TOOLS Tool : Mode of placement FIT or FTT comBo FTT Diameter of charges, kind of setting Type of pad Sampling chamber: 3/4. (10 IA or t/2 (21 I) 23/4 Choke: 4X0.020 Hydraulic circuit regulator GR Shaped Charge hard casing FORMATION :I.L9e.2: EocenQ N of test  Testing depth reference GRN 1952 absolute depth  3923 n, (with correction of deviataol) OVERALL RESULTS : significant ______ TEST Pressure scale Pad pressure.",25/2-2,Total E&P Norge AS,1994,What type of formation does the wellbore 25/2-2 have?,Non Lithology: sand.,The formation type in Wellbore 25/2-2 is non Lithology: sand.,1
3,DISCOVERY_EVALUATION_REPORT,59d3b7de417e13085ff1dbee2ce826ff2fe23165,1,"Reason for testing: ..._s_aample for PVT Analysis. iFORMATION Cores  non Litholagy : sand Porosity  29 0/0 Permeability : very good Salinity of interstitial water ' 53 g/1 07a2 135F Presumed GOR  Static Reservoir Pressure  2900 PSI Head of mud  3350 PSIG TOOLS Tool : Mode of placement FIT or FTT comBo FTT Diameter of charges, kind of setting Type of pad Sampling chamber: 3/4. (10 IA or t/2 (21 I) 23/4 Choke: 4X0.020 Hydraulic circuit regulator GR Shaped Charge hard casing FORMATION :I.L9e.2: EocenQ N of test  Testing depth reference GRN 1952 absolute depth  3923 n, (with correction of deviataol) OVERALL RESULTS : significant ______ TEST Pressure scale Pad pressure.",25/2-2,Total E&P Norge AS,1994,What is the porosity within wellbore 25/2-2?,29 0/0.,The porosity within Wellbore 25/2-2 is 29 0/0.,1
4,DISCOVERY_EVALUATION_REPORT,59d3b7de417e13085ff1dbee2ce826ff2fe23165,1,"Reason for testing: ..._s_aample for PVT Analysis. iFORMATION Cores  non Litholagy : sand Porosity  29 0/0 Permeability : very good Salinity of interstitial water ' 53 g/1 07a2 135F Presumed GOR  Static Reservoir Pressure  2900 PSI Head of mud  3350 PSIG TOOLS Tool : Mode of placement FIT or FTT comBo FTT Diameter of charges, kind of setting Type of pad Sampling chamber: 3/4. (10 IA or t/2 (21 I) 23/4 Choke: 4X0.020 Hydraulic circuit regulator GR Shaped Charge hard casing FORMATION :I.L9e.2: EocenQ N of test  Testing depth reference GRN 1952 absolute depth  3923 n, (with correction of deviataol) OVERALL RESULTS : significant ______ TEST Pressure scale Pad pressure.",25/2-2,Total E&P Norge AS,1994,What is the permeability of the sand in wellbore 25/2-2?,Very good.,The permeability of the sand in Wellbore 25/2-2 is very good.,1
5,DISCOVERY_EVALUATION_REPORT,59d3b7de417e13085ff1dbee2ce826ff2fe23165,1,"Reason for testing: ..._s_aample for PVT Analysis. iFORMATION Cores  non Litholagy : sand Porosity  29 0/0 Permeability : very good Salinity of interstitial water ' 53 g/1 07a2 135F Presumed GOR  Static Reservoir Pressure  2900 PSI Head of mud  3350 PSIG TOOLS Tool : Mode of placement FIT or FTT comBo FTT Diameter of charges, kind of setting Type of pad Sampling chamber: 3/4. (10 IA or t/2 (21 I) 23/4 Choke: 4X0.020 Hydraulic circuit regulator GR Shaped Charge hard casing FORMATION :I.L9e.2: EocenQ N of test  Testing depth reference GRN 1952 absolute depth  3923 n, (with correction of deviataol) OVERALL RESULTS : significant ______ TEST Pressure scale Pad pressure.",25/2-2,Total E&P Norge AS,1994,What is the salinity of interstitial water in wellbore 25/2-2?,53 g/1 07a2 135F.,The salinity of the interstitial water in Wellbore 25/2-2 is 53 g/1 07a2 135F.,1
6,DISCOVERY_EVALUATION_REPORT,59d3b7de417e13085ff1dbee2ce826ff2fe23165,1,"Reason for testing: ..._s_aample for PVT Analysis. iFORMATION Cores  non Litholagy : sand Porosity  29 0/0 Permeability : very good Salinity of interstitial water ' 53 g/1 07a2 135F Presumed GOR  Static Reservoir Pressure  2900 PSI Head of mud  3350 PSIG TOOLS Tool : Mode of placement FIT or FTT comBo FTT Diameter of charges, kind of setting Type of pad Sampling chamber: 3/4. (10 IA or t/2 (21 I) 23/4 Choke: 4X0.020 Hydraulic circuit regulator GR Shaped Charge hard casing FORMATION :I.L9e.2: EocenQ N of test  Testing depth reference GRN 1952 absolute depth  3923 n, (with correction of deviataol) OVERALL RESULTS : significant ______ TEST Pressure scale Pad pressure.",25/2-2,Total E&P Norge AS,1994,What is the presumed GOR of wellbore 25/2-2?,resevoir pressure 2900 PSI,The presumed GOR of Wellbore 25/2-2 is equivalent to the reservoir pressure of 2900 PSI,1
7,DISCOVERY_EVALUATION_REPORT,59d3b7de417e13085ff1dbee2ce826ff2fe23165,1,"Reason for testing: ..._s_aample for PVT Analysis. iFORMATION Cores  non Litholagy : sand Porosity  29 0/0 Permeability : very good Salinity of interstitial water ' 53 g/1 07a2 135F Presumed GOR  Static Reservoir Pressure  2900 PSI Head of mud  3350 PSIG TOOLS Tool : Mode of placement FIT or FTT comBo FTT Diameter of charges, kind of setting Type of pad Sampling chamber: 3/4. (10 IA or t/2 (21 I) 23/4 Choke: 4X0.020 Hydraulic circuit regulator GR Shaped Charge hard casing FORMATION :I.L9e.2: EocenQ N of test  Testing depth reference GRN 1952 absolute depth  3923 n, (with correction of deviataol) OVERALL RESULTS : significant ______ TEST Pressure scale Pad pressure.",25/2-2,Total E&P Norge AS,1994,What is the head of mud measured in wellbore 25/2-2?,3350 PSIG.,"In the wellbore 25/2-2, the head of mud is measured to be 3350 PSIG.",1
8,DISCOVERY_EVALUATION_REPORT,59d3b7de417e13085ff1dbee2ce826ff2fe23165,1,"Reason for testing: ..._s_aample for PVT Analysis. iFORMATION Cores  non Litholagy : sand Porosity  29 0/0 Permeability : very good Salinity of interstitial water ' 53 g/1 07a2 135F Presumed GOR  Static Reservoir Pressure  2900 PSI Head of mud  3350 PSIG TOOLS Tool : Mode of placement FIT or FTT comBo FTT Diameter of charges, kind of setting Type of pad Sampling chamber: 3/4. (10 IA or t/2 (21 I) 23/4 Choke: 4X0.020 Hydraulic circuit regulator GR Shaped Charge hard casing FORMATION :I.L9e.2: EocenQ N of test  Testing depth reference GRN 1952 absolute depth  3923 n, (with correction of deviataol) OVERALL RESULTS : significant ______ TEST Pressure scale Pad pressure.",25/2-2,Total E&P Norge AS,1994,What type of tool was used in wellbore 25/2-2?,Mode of placement FIT or FTT comBo FTT.,The type of tool used in wellbore 25/2-2 is 'Mode of placement FIT or FTT comBo FTT'.,1
9,DISCOVERY_EVALUATION_REPORT,59d3b7de417e13085ff1dbee2ce826ff2fe23165,1,"Reason for testing: ..._s_aample for PVT Analysis. iFORMATION Cores  non Litholagy : sand Porosity  29 0/0 Permeability : very good Salinity of interstitial water ' 53 g/1 07a2 135F Presumed GOR  Static Reservoir Pressure  2900 PSI Head of mud  3350 PSIG TOOLS Tool : Mode of placement FIT or FTT comBo FTT Diameter of charges, kind of setting Type of pad Sampling chamber: 3/4. (10 IA or t/2 (21 I) 23/4 Choke: 4X0.020 Hydraulic circuit regulator GR Shaped Charge hard casing FORMATION :I.L9e.2: EocenQ N of test  Testing depth reference GRN 1952 absolute depth  3923 n, (with correction of deviataol) OVERALL RESULTS : significant ______ TEST Pressure scale Pad pressure.",25/2-2,Total E&P Norge AS,1994,What type of testing depth reference was used in wellbore 25/2-2?,GRN 1952 absolute depth.,The type of testing depth reference used in wellbore 25/2-2 is GRN 1952 absolute depth.,1
